outcome,spec,event_time,att,ci_low,ci_high
Slant direction,Full: outlet:event FE,-6,-0.01630935028903456,-0.055207129602897864,0.022588429024828743
Slant direction,Full: outlet:event FE,-5,0.009588766528560104,-0.02969912071576137,0.04887665377288158
Slant direction,Full: outlet:event FE,-4,0.026781762495654584,-0.006069253523912046,0.05963277851522121
Slant direction,Full: outlet:event FE,-3,0.02570806458097024,-0.015643501591883588,0.06705963075382407
Slant direction,Full: outlet:event FE,-2,0.015750944810127513,-0.0203634792960171,0.05186536891627212
Slant direction,Full: outlet:event FE,0,0.10143284028074505,0.04196721759984884,0.16089846296164126
Slant direction,Full: outlet:event FE,1,0.06812469107389987,0.020247220830456457,0.11600216131734328
Slant direction,Full: outlet:event FE,2,0.07220057486615765,0.025790396513296815,0.11861075321901848
Slant direction,Full: outlet:event FE,3,0.02308771835992501,-0.014010227004210913,0.06018566372406094
Slant direction,Full: outlet:event FE,4,0.006768810149961169,-0.025719789999179204,0.03925741029910154
Slant direction,Full: outlet:event FE,5,-0.00844422212864456,-0.04079265893557751,0.023904214678288384
Slant direction,Full: outlet:event FE,6,0.010326665311147717,-0.027330584369515597,0.04798391499181103
Slant direction,Full: additive FE,-6,-0.010816013067546098,-0.0604931191158925,0.0388610929808003
Slant direction,Full: additive FE,-5,0.014986427951432728,-0.02785820309164977,0.057831058994515225
Slant direction,Full: additive FE,-4,0.03269925077555459,-0.004797693545098007,0.0701961950962072
Slant direction,Full: additive FE,-3,0.031412585291224406,-0.005447059793413582,0.06827223037586239
Slant direction,Full: additive FE,-2,0.027448070015785482,-0.021543877609992636,0.0764400176415636
Slant direction,Full: additive FE,0,0.2119370587609495,0.014815494272946428,0.4090586232489526
Slant direction,Full: additive FE,1,0.08924278221328999,0.03145646343193095,0.14702910099464903
Slant direction,Full: additive FE,2,0.09131904984185421,0.035236823176888456,0.14740127650681997
Slant direction,Full: additive FE,3,0.04231866577264834,-0.014571684825539756,0.09920901637083643
Slant direction,Full: additive FE,4,0.018141439725418058,-0.029842115480223832,0.06612499493105994
Slant direction,Full: additive FE,5,0.0017034021661384655,-0.04556941376120214,0.04897621809347907
Slant direction,Full: additive FE,6,0.018995454147965014,-0.03268150966990119,0.07067241796583121
Slant direction,Post-1970: outlet:event FE,-6,-0.01686897048580754,-0.05603531957582983,0.02229737860421475
Slant direction,Post-1970: outlet:event FE,-5,0.007537252007081589,-0.03192263064315772,0.046997134657320895
Slant direction,Post-1970: outlet:event FE,-4,0.02385099277775001,-0.009423782853482575,0.0571257684089826
Slant direction,Post-1970: outlet:event FE,-3,0.024085360689500474,-0.01773860046876703,0.06590932184776797
Slant direction,Post-1970: outlet:event FE,-2,0.016803250464166714,-0.01946256205117741,0.053069062979510834
Slant direction,Post-1970: outlet:event FE,0,0.10094730640253403,0.040895397180583146,0.16099921562448494
Slant direction,Post-1970: outlet:event FE,1,0.06320335541256623,0.014674203675989504,0.11173250714914296
Slant direction,Post-1970: outlet:event FE,2,0.07069257314357888,0.023674370776541408,0.11771077551061634
Slant direction,Post-1970: outlet:event FE,3,0.02384073023790133,-0.013664117768836252,0.06134557824463892
Slant direction,Post-1970: outlet:event FE,4,0.0072636087563444545,-0.025530976658529627,0.04005819417121854
Slant direction,Post-1970: outlet:event FE,5,-0.007950940462682687,-0.04056024038181542,0.024658359456450042
Slant direction,Post-1970: outlet:event FE,6,0.00972218675396775,-0.028301532498318863,0.04774590600625436
Slant direction,Post-1990: outlet:event FE,-6,-0.016276365706923798,-0.05572213094752926,0.02316939953368166
Slant direction,Post-1990: outlet:event FE,-5,0.013161852673160111,-0.028028924469589905,0.05435262981591013
Slant direction,Post-1990: outlet:event FE,-4,0.02916976185903082,-0.003548449183237823,0.061887972901299465
Slant direction,Post-1990: outlet:event FE,-3,0.0256096466564195,-0.019801530056445953,0.07102082336928495
Slant direction,Post-1990: outlet:event FE,-2,0.02014245389141402,-0.01986459527926974,0.06014950306209778
Slant direction,Post-1990: outlet:event FE,1,0.056613022630741264,0.004349621300805115,0.10887642396067741
Slant direction,Post-1990: outlet:event FE,2,0.06955433021267465,0.017694565659091797,0.1214140947662575
Slant direction,Post-1990: outlet:event FE,3,0.03849693371587575,4.580715321213513e-4,0.07653579589963015
Slant direction,Post-1990: outlet:event FE,4,0.004195409294656001,-0.03250282927351628,0.04089364786282828
Slant direction,Post-1990: outlet:event FE,5,-0.010882186591288256,-0.04647257343283507,0.024708200250258557
Slant direction,Post-1990: outlet:event FE,6,0.01245756444822256,-0.02975826497182641,0.05467339386827153
Slant direction,Post-1990: additive FE,-6,-0.02815753114485401,-0.06672889269944546,0.01041383040973743
Slant direction,Post-1990: additive FE,-5,7.811625468149715e-4,-0.029976733910223107,0.03153905900385305
Slant direction,Post-1990: additive FE,-4,0.0166580608476754,-0.0055053631748731915,0.03882148487022399
Slant direction,Post-1990: additive FE,-3,0.013071477928746874,-0.014595220169465599,0.040738176026959345
Slant direction,Post-1990: additive FE,-2,0.007693551924123079,-0.023116811598142738,0.0385039154463889
Slant direction,Post-1990: additive FE,0,-0.11786058355171046,-4773.722580627406,4773.486859460302
Slant direction,Post-1990: additive FE,1,0.0423384070587637,0.0043625187719524006,0.080314295345574993
Slant direction,Post-1990: additive FE,2,0.05533483516000652,0.019439019775825406,0.09123065054418764
Slant direction,Post-1990: additive FE,3,0.024202609706026137,-0.002657896640521566,0.05106311605257384
Slant direction,Post-1990: additive FE,4,-0.010179119646766308,-0.03256860917921744,0.012210369885684823
Slant direction,Post-1990: additive FE,5,-0.025288858757566413,-0.050480666786405025,-9.705072872780163e-5
Slant direction,Post-1990: additive FE,6,-0.0023839464231400005,-0.03343575105169821,0.028667858205418204
Extremeness (|slant|),Full: outlet:event FE,-6,0.01517971146954297,-0.024112179069606256,0.0544716020086922
Extremeness (|slant|),Full: outlet:event FE,-5,0.032665483828378736,-0.0025832373747003215,0.06791420503145779
Extremeness (|slant|),Full: outlet:event FE,-4,0.028938855294978215,-0.010787751570787936,0.06866546216074437
Extremeness (|slant|),Full: outlet:event FE,-3,0.01053818592676056,-0.01826302541229271,0.03933939726581383
