outcome,spec,event_time,att,ci_low,ci_high
Entropy,Full sample,-4,0.1035175688222231,0.0025799485592958304,0.20445518908515037
Entropy,Full sample,-3,0.04758606036362419,-0.015208924149174664,0.11038104487642306
Entropy,Full sample,-2,0.024384663315178322,-0.060235984883526904,0.10900531151388354
Entropy,Full sample,0,0.0978135180381915,0.027114280015547207,0.16851275606083577
Entropy,Full sample,1,0.12436030763609626,0.03554819541163193,0.2131724198605606
Entropy,Full sample,2,0.05142468372583136,-0.01422556486882285,0.11707493232048558
Entropy,Full sample,3,0.08623822851285153,0.0016636373803334409,0.1708128196453696
Entropy,Full sample,4,0.06884538535075636,-0.033930720162466385,0.1716214908639791
Entropy,Full sample,5,0.053851386242540517,-0.01669590781596056,0.12439868030104159
Entropy,Full sample,6,0.09931223269052919,-0.030228778529934802,0.22885324391099318
Entropy,Full + outlet FE,-6,0.025434821241393353,-0.062000568484143696,0.1128702109669304
Entropy,Full + outlet FE,-5,0.10329802096242205,0.026765517555971452,0.17983052436887265
Entropy,Full + outlet FE,-4,0.10175095615202658,4.3950216421184685e-4,0.2030624101398413
Entropy,Full + outlet FE,-3,0.04612973537284596,-0.016999395732993743,0.10925886647868566
Entropy,Full + outlet FE,-2,0.023010727974401568,-0.062021916715669256,0.10804337266447239
Entropy,Full + outlet FE,0,0.10702071921270725,0.03781289675047714,0.17622854167493737
Entropy,Full + outlet FE,1,0.12330326358386558,0.032759387243463445,0.2138471399242677
Entropy,Full + outlet FE,2,0.04962889909756412,-0.016723898083854695,0.11598169627898294
Entropy,Full + outlet FE,3,0.08523942266090508,-0.0013030882160791485,0.1717819335378893
Entropy,Full + outlet FE,4,0.06693501068938654,-0.03890895380647175,0.17277897518524482
Entropy,Full + outlet FE,5,0.05157287870312352,-0.020437865496117952,0.12358362290236499
Entropy,Full + outlet FE,6,0.09678992838692733,-0.03690537599679393,0.23048523277064858
Entropy,Post-1970 + outlet FE,-6,0.021924186995330535,-0.06588272859142091,0.10973110258208199
Entropy,Post-1970 + outlet FE,-5,0.10114369582827454,0.024257378903750473,0.17803001275279862
Entropy,Post-1970 + outlet FE,-4,0.10039707142601491,-0.0013799366239344302,0.20217407947596425
Entropy,Post-1970 + outlet FE,-3,0.044735155657560956,-0.018652957976709107,0.10812326929183103
Entropy,Post-1970 + outlet FE,-2,0.02009013198080039,-0.06527931139525067,0.10545957535685144
Entropy,Post-1970 + outlet FE,0,0.10699879993893756,0.03740868479299542,0.1765889150848797
Entropy,Post-1970 + outlet FE,1,0.12183641108245274,0.030876029865432697,0.2127967922994728
Entropy,Post-1970 + outlet FE,2,0.0488310834515064,-0.01779348353519143,0.11545565043820423
Entropy,Post-1970 + outlet FE,3,0.07640895745255126,-0.01014886009202949,0.16296677499713202
Entropy,Post-1970 + outlet FE,4,0.06471114350812861,-0.041602468650838775,0.171024755667096
Entropy,Post-1970 + outlet FE,5,0.04875078258827882,-0.0235772763531885,0.12107884152974614
Entropy,Post-1970 + outlet FE,6,0.09699054066171763,-0.03744816698378427,0.2314292483072195
Entropy,Post-1990,-6,0.02330497425907404,-0.0732505331744934,0.11986048169264146
Entropy,Post-1990,-5,0.11889134893854027,0.03481380035272344,0.2029688975243571
Entropy,Post-1990,-4,0.12018406051501915,0.006225501500947417,0.23414261952909088
Entropy,Post-1990,-3,0.061927556248970284,-0.001970617397650379,0.12582572989559093
Entropy,Post-1990,-2,0.016824421122467795,-0.07901779746944174,0.11266663971437732
Entropy,Post-1990,1,0.14109007549883232,0.04397162877668016,0.2382085222209845
Entropy,Post-1990,2,0.07288614988560707,0.004249951768506635,0.14152234800270752
Entropy,Post-1990,3,0.08540595361336782,-0.008139488133638698,0.17895139536037435
Entropy,Post-1990,4,0.08543339386995089,-0.029403579505230856,0.20027036724513264
Entropy,Post-1990,5,0.06732483976632717,-0.009635818706620614,0.14428549823927495
Entropy,Post-1990,6,0.10854688416280003,-0.0364464659499677,0.25354023427556777
Entropy,Post-1990 + outlet FE,-6,0.023970583839034106,-0.0723079668427471,0.12024913452081532
Entropy,Post-1990 + outlet FE,-5,0.11893066331802037,0.034892319474096586,0.20296900716194416
Entropy,Post-1990 + outlet FE,-4,0.12009798297754797,0.006116237939704616,0.23407972801539131
Entropy,Post-1990 + outlet FE,-3,0.06203505268337441,-0.0020070170292483605,0.1260771223959972
Entropy,Post-1990 + outlet FE,-2,0.016594269489676416,-0.07916788225470629,0.11235642123405913
Entropy,Post-1990 + outlet FE,0,-1.8392675301879757,-25762.53538420078,25758.856849140404
Entropy,Post-1990 + outlet FE,1,0.14032496621459484,0.04216198385084968,0.23848794857834
Entropy,Post-1990 + outlet FE,2,0.0717537484985192,0.002993050142680323,0.1405144468543581
Entropy,Post-1990 + outlet FE,3,0.08484258880675187,-0.009884674820345024,0.17956985243384876
Entropy,Post-1990 + outlet FE,4,0.0848502191900445,-0.031538463856376625,0.20123890223646562
Entropy,Post-1990 + outlet FE,5,0.06658811181923949,-0.01079639331113355,0.14397261694961253
Entropy,Post-1990 + outlet FE,6,0.10774381198243733,-0.03916050493161931,0.25464812889649396
